uidx,obs_id,exchange_idx,student_text,teacher_text,follow_up_unfiltered_zscore,follow_up_unfiltered_majority,follow_up_filtered_zscore,follow_up_filtered_majority
1038_310,1038,1038_310,I’m gonna do a shout out.,"Student D, first I want to see your work and then you can give me a shout out.",0.08270256981425321,0.0,1.4865653511399612,
1038_66,1038,1038_66,You added more than you needed.,You added more than you needed.  I don’t know.  I just saw it on two or three people’s papers so I wasn’t sure where we got that from.  So we won’t worry about that.  I was just curious to see if somebody realized where they made their error.  Student V?,0.9135085005060245,1.0,0.11436413594079815,0.0
1042_306,1042,1042_306,I don’t get what’s with—,"They’re asking you to on average how many papers would you read.  No, that’s right.  Don’t do that.  Leave it like that and then just round it and circle it.  Okay?  That was perfectly fine and then you rounded it.  That’s fine.",0.383107964647633,,0.1438247723060228,
1043_208,1043,1043_208,"Isn’t 20 times 20, 400?","One times nine is nine.  One times one is one.  Put down bob. Eighteen, carry the one.  Two plus one is three.  Three hundred and ninety-nine.  What?",-0.8913609643119674,0.0,,
1044_12,1044,1044_12,Like what we think is going to happen.,"What you think is going to happen, okay. Any other suggestions? Alright, I’m gonna call on everyone, small groups, large groups, everyone in the classroom to give me how long they think it will take you can use minutes, you can use seconds alright and we’re also gonna talk about converting minutes into seconds and things like that okay. So first things first I’m gonna make a little chart. On one side I’m gonna put right foot, on the other side I’m gonna put left foot. And everyone is gonna have a chance to give me a prediction okay. Right foot, and then left foot.",-0.04793940228797925,0.0,1.086574968094849,
1044_181,1044,1044_181,I feel like I did it wrong.,"No you did it right the first time, you’re doing your left foot now you’re gonna balance on your left foot. If I’ve already gotten your right and left foot go take a seat at your desk. If I’ve already gotten your right, 20 seconds, woohoo that was good that was very focused. Alright hold on a second let me clear my timer. Ready? 3 seconds, that’s okay. Shh, shh, shh, shh-shh.",-0.542012999177628,0.0,-1.0702591020190135,
1045_122,1045,1045_122,What do you mean what’s happened?,Alright friends share with me what we have.,-0.901204375217563,0.0,,
1045_23,1045,1045_23,Uh the first 2 numbers the 3 and the 6 in each problem.,"Okay so Student K is noticing we have a 6 and we have a 3, what’s the relationship between the 6 and the 3?",0.9171658468371975,1.0,-0.013666301934758226,0.0
1045_311,1045,1045_311,Um. If we’re going to…,I love the vocabulary equivalent expressions. I am looking for an equivalent equation on this side. Like before we had 6 times 9 equals 3 times 18. Now I’m wondering 40 times 32 equals what?,-0.9205502355448459,0.0,,
1046_132,1046,1046_132,I need help with this one.,Hm?,-0.9109558928167295,0.0,,
1047_103,1047,1047_103,Each box contains 18 apples.,"Good.  Each box – please write this down.  Each box contains 18 apples.  My third sentence is my question.  Who can create a question?  You can look at the one we did and you’re doing almost the same thing, only apples to oranges. Student R?",0.37625711946974266,1.0,-0.7415231454586656,0.0
1049_35,1049,1049_35,I didn’t get one.,"You were here.  You did get one.  I’m gonna give you a new one, okay?  I’m gonna give you a new – and Student C, we’re waiting on yours, right?",-0.9159920315779845,0.0,,
1054_109,1054,1054_109,I’m not going to [keep it].,"Why?  When you’re ready to let me help you, please let me know.",-0.8568463827946848,0.0,,
1057_166,1057,1057_166,Another word for positive is above.,Or?,0.08232044359775176,1.0,-0.6408836938664293,0.0
1058_178,1058,1058_178,"Well, what you supposed to do is multiply three times four.",Where are they?  What are these called?  Class?,0.3040237906489854,,0.09767585828543301,
1062_347,1062,1062_347,"Oh, so then you can do 15 times 199.","Write that number sentence and solve it, please.  Student S, what’s going on?  Student S, I want you to solve a second way, please, okay?  Student D and Student K, how are we doing?",0.2888287346215113,,0.052999350410938895,
1064_222,1064,1064_222,I divided 8 by 100.,Okay.  Did you do that?,1.0736837556391494,2.0,0.3841439716834225,1.0
1064_348,1064,1064_348,They both are mixed numbers.,They both are mixed numbers.,-0.8700265106030193,0.0,,
1067_13,1067,1067_13,"They’re algebraic letters, but they’re taking the place of numbers in an algebra problem.","And that’s absolutely right.  They are taking the place of a number in a algebra problem, and we call them variables. How many people remember the term variable?  Okay, when we’re in math, we have to learn how to speak math.  Like if I’m gonna something together and I say what is two plus two, you’re gonna tell me the blank is four.  And I’m not looking for answer because answer is not a specific math term.  The what is four?",-0.10864412878747204,1.0,-0.847311592643301,0.0
1067_220,1067,1067_220,"You’re going to put out seven yellow counters and then under that, you –",Stop.  Only wanted the first thing.  Everybody agree the first thing we’re gonna do is put out seven yellow counters?,0.7327259570419113,1.0,-0.23827631117304693,0.0
1069_171,1069,1069_171,We’re still writing them.,"Okay, boys, I need to see it happening.  How many have you written Student K?  You goin’ to – you know what?  If you make ‘em so hard that he can’t solve for ‘em and you can’t solve – you’ve gotta be able to solve your own problem. Let me see.  Okay, those look pretty good actually. Student M’s look good.  Student M’s look good.  Tell Ms. B I’m working and I’ll send them in a few minutes. Do we have an answer?  All right, boys, let’s see.  All right, you’re gonna use the blocks.  What’s the first thing?  Do we have any parenthesis?",-0.4568463221550752,0.0,-0.9203230604082056,
1069_18,1069,1069_18,Because it tells you the order of operation.,Very good.  Keep talking.,1.3210810930572168,2.0,0.6520888805040514,1.0
1069_28,1069,1069_28,"Number sentences related to PEMDAS because in order to solve a number sentence you’re gonna need to know the order of operations that you use and they’re important because you can – because let’s say you have a job and then you sort out your taxes, you can use number sentences to help you sort out your taxes.","You can write equations to figure out tax information as well as calculating tax information, can’t you?  One plus two is what? Who said four?  I’m feeling dizzy.  I’m feeling dizzy.  One plus two is what?",0.10745883911336895,1.0,-0.48455696659127867,0.0
1069_3,1069,1069_3,Factor and practice solving for the variable.,Very good.  And what’s the other math objective?,0.010980473944395497,1.0,-0.824591058910727,0.0
1069_33,1069,1069_33,It’s called a variable.,It’s a variable.  Variable.  Class? It’s a variable.  What does a variable do?  Who can tell me? Mr. P?,1.4520067414753923,2.0,0.7882415424537786,1.0
1069_7,1069,1069_7,Understand and discuss what led to the Revolutionary War.,Very good and what else?,-0.9254049599044182,0.0,,
1076_3,1076,1076_3,It’s like in between.,"Which one are you measuring?  I would say that’s 7, or you could say 6 and a half if you feel it’s necessary.  Make sure it’s the same thing with you.  You need to fill this column in.  Don’t worry about that question.  That’s going to be after we work with the area.  Finish parameter.  Yes. The rectangles are mostly done.  We’re going to get into triangles and other shapes.  Now I know that we’re rounding.  When we talk about the measurements, I have the exact same ones here.  So we’re going to see how close we are.  Yes, Student E?",-0.10106576808810547,1.0,-1.1002798282201307,0.0
1077_303,1077,1077_303,Subtract the whole numbers.  That’ll give you 1.  I think you multiply the fraction –,Wait a minute.,-0.9270639494130922,0.0,,
1077_341,1077,1077_341,"Wahoo, so that’s the answer.",– five eighths.  So what goes in the missing box?,0.3740994493598954,,0.07229472418533323,
1077_6,1077,1077_6,Teams were given these fractional numbers to add.  8 and three fourths plus 4 and three eighths plus 6 and seven eighths. First Student T added her whole numbers.  Then she added her fractions.  Her final answer was 18 and thirteen twentieths.  Her partner Student C says they should hand in his answer which is 18 and sixteen eighths.  Whose answer is correct?,"So we have a dilemma here.  We have people working the partnership.  And oftentime like you guys, they have a dispute over, ""Oh, no, no, no.  My answer’s the right answer.""  ""No, you did something wrong.  You skipped a step.""  But you can only hand in one paper for the team. Student T said her answer was correct.  She came up with 18 and thirteen twentieths.  Student C, of course being a guy like guys do sometimes, ""Girl you don’t know what you talking about.""  The correct answer is 18 and sixteen eighths.  So you had a chance to analyze this with your partner.  Who would like to share what they came up with? Who was correct?  Who was correct?  Student J?",1.3431009059306593,2.0,0.7502468749516308,1.0
1079_1,1079,1079_1,Eyes and ears from you Student M.  Eyes and ears from you.,"That’s right.  Student M, go for it.",-0.955045217493463,0.0,,
1079_128,1079,1079_128,5 times 1 is 5 because there’s five of these and only one vanilla.  So 5 times 1 is 5.,"Very good.  Give him a hand for that.  Now also here we have – I wrote it out, didn’t I?  And how many did I get here?",0.37256462116922756,1.0,-0.8516454788116011,0.0
1079_130,1079,1079_130,"1, 2, 3, 4, 5.",We’re gonna try it again.  And this time I want everybody paying attention.,-0.9651778236905872,0.0,,
1079_132,1079,1079_132,"1, 2, 3, 4, 5.",That also equals 5.  So we drew it out.  Saw it in our minds. What’s the key words here?  Well what are the key words? Give me some key words out of this?,-0.03848806246933123,1.0,-0.7705939104118187,0.0
1079_154,1079,1079_154,And then we see how many combinations could go with chocolate or vanilla.,We solved.  Good.  We considered the different combinations. And what’s the last thing?  Give me something.,0.5475020309517025,1.0,-0.6750474212423319,0.0
1079_160,1079,1079_160,We did 5 times 2 equals 10.,"No.  We did 5 times 1 equals 5, darling.",-0.6221750791940033,0.0,-1.1937336386313322,
1079_162,1079,1079_162,"Oh, that’s to solve the whole –","That’s if you ate two cakes.  You only have two cakes, right. You only had one cake.  So we solved the problem using the number of cakes and frosting.  Those are my three sentences that explain what I did.  Now let us try on our own. Anybody got any questions about what just happened here? Anybody more, horribly, terribly confused?  If you are not confused, let me see your thumb in the air.  If you got it, let me hear you say, ""Oh, yeah.""",-0.06424245137460945,1.0,-0.7464301603072419,0.0
1079_17,1079,1079_17,Read the problem.  How can you tell – how can you re-tell –,"I don’t see anything that says that.  Somebody help Student J out.  The first thing what does it say, Student Z?",-0.05674966588183278,1.0,-0.8260160880848594,0.0
1079_171,1079,1079_171,I can’t stand time elapsed.,Shhh.  I would like everybody to use our four steps and get me an answer.  Mrs. B took her kids to school at 7:30.  Now I’m gonna start you off since you folks need a little bit –,-0.9228919474857395,0.0,,
1079_181,1079,1079_181,"Just to do to finish the problem.  Oh, that’s [fine].",Finish the problem.  Let me see.  Good Student S.,-0.8844205895545844,0.0,,
1079_232,1079,1079_232,Can I go with the Jackson 5?,"Yeah.  Temptations, Jackson 5, New Edition group leaders, come get your papers.  Temptations.",-0.9513313850702314,0.0,,
1079_234,1079,1079_234,I’m a group leader.  I’m a group leader.,Get the papers for your group.,-0.4127429262022424,0.0,-0.7317091157615132,
1079_236,1079,1079_236,Are we gonna out in the hallway?,Yeah.,-0.9176236933757078,0.0,,
1079_242,1079,1079_242,Student K is Jackson 5 leader.,"Supremes, Four Tops, and Miracles, come and get your assignment.",-0.9254049599044181,0.0,,
1079_252,1079,1079_252,Can I do all these problems?,"Yes, that’s not a problem.  Please get the other children inside.  Tell everyone to come inside.",-0.8871992569185972,0.0,,
1079_27,1079,1079_27,What do you know?  What do you want to find out?  Do you have all the information needed to solve the problem?,"Interesting.  And number 2, what must you do?  What must you do, Student S?",0.1070024601073503,1.0,-0.6467165739827413,0.0
1079_37,1079,1079_37,Is the problem like when you solved before?  Is there a pattern you can use?  Then you draw a picture or a diagram.  Can you write a number model or make it a table?,Good.,-0.8566971213706694,0.0,,
1079_39,1079,1079_39,Can you use counter base ten blocks or something or some other tool?,Good.,-0.8268447007744507,0.0,,
1079_41,1079,1079_41,Can you estimate the answer and check if you’re right?,"Good, Student S.  Good job.  Number 3, what’s number 3?  What’s the third thing we need to do, Student J?",0.15164794243246063,1.0,-0.675787933861949,0.0
1079_49,1079,1079_49,Does your answer make sense?  Does your answer agree with what you’re asking me?  Can you write a number model for the problem?  Can you solve the problem in another way?,You gotta look back.  Everybody say look back.,-0.909496604203499,0.0,,
1079_84,1079,1079_84,"No, she didn’t.  Be quiet.","That’s the cake, sugar foot.  Or lemon.  Now you could choose from five different frosting flavors for your cake.  How many different kinds of cake combinations could you order if you chose one cake and one frosting?  So which cake do you all want, chocolate or vanilla?",-0.9526785207885994,0.0,,
1079_89,1079,1079_89,Where’s vanilla on vanilla?,"That’s vanilla frosting.  Now who can solve this problem?  How many different kinds of cake combinations could you order if you chose one cake and one frosting?  Vanilla, how many different combinations do you see here?  Vanilla and what?",-0.49389394187216845,0.0,-0.7317091157615132,
1084_366,1084,1084_366,Do it in our notebook?,"Yep.  I want you to have it in your notebook correct.  [Side comment about sharpening pencil].  So, show me that you broke it into the correct number of pieces based on the denominator.  Yes?",0.35172423600819763,,0.2069416923090534,
1084_78,1084,1084_78,Seven plus seven is fourteen.,"Okay, so you doubled.  You did your doubles first.  Okay. Fourteen plus eight?",0.5218487743884239,1.0,-0.6514863237365337,0.0
1087_19,1087,1087_19,[Crosstalk while discussing with other students],"Okay, I’m gonna bring you back.  So I heard range.  How many of you said range?  Okay, I heard range.  I’m gonna put these words in turquoise.  So I hear range.  Student C, what else did you hear?",0.22425330614332464,,0.10667186665790118,
1089_83,1089,1089_83,"3 and 4.  No, 12.","No, just 3.  It’s the number being divided into it.  So ‘cause we’re putting 3 into 12.  So it’s the number that you put into the dividend.  So what’s the divisor over here?",0.557786531215748,1.0,-0.6483184010077924,0.0
1092_273,1092,1092_273,If you’re buying a refrigerator.,"Oh, if you’re buying a refrigerator, so you might – like, your family to me is huge, right?  Twins and then there’s two other boys and then you have your mom and your dad.  So you guys probably definitely need more food than I have, hmm? There’s a lot more people eating there.  Student A.",-0.20683873702940225,0.0,0.837707816583391,
1094_22,1094,1094_22,Because the base of it is a hexagon.,Student K?,-0.8340507234100435,0.0,,
1094_24,1094,1094_24,The base is a hexagon.,"And how do I know it’s a pyramid?  What characteristics does it have that makes it a pyramid?  Student K, what do you think?  Why would we call this a pyramid?",0.38329635156408104,,0.192147456165484,
1094_303,1094,1094_303,"On an octagonal prism on the apex.  I mean, no, the pyramid.","Oh, but I’m talking about – I’m just talking about prisms.",-0.917472608928897,0.0,,
1098_255,1098,1098_255,The door going to be right there.,Okay.  The door’s right there.  Okay.  All right.,-0.8980077786833901,0.0,,
1098_303,1098,1098_303,"This is the entry.  And that’s the attic.  And that’s going to be the room for my kids.  And I need another piece of paper for the hallway, and that room.  [Crosstalk with other students].","Now, this is the outside of your house, right?",1.3056657439020958,2.0,0.652319740721972,1.0
1099_110,1099,1099_110,One side is gonna be study hall and the other side is gonna be study room.,What’s the difference.,-0.9312108825045137,0.0,,
109_213,109,109_213,I’ve got the answer.,Four thousand what?,0.3122788029638586,1.0,-1.0230186312623855,0.0
10_283,10,10_283,How many snowballs are there in all?,"Excellent.  So you have 10 piles.  So the piles are the groups, right?",0.8046041487718822,1.0,-0.1158047344768484,0.0
10_297,10,10_297,There’s 58 people and 6 in each group.,There are 58 people in total though?,0.9806261127767196,1.0,0.041881340370328535,0.0
1100_327,1100,1100_327,"And you do the other number, everything on top, too.",Right on.,-0.8512236976190675,0.0,,
1101_255,1101,1101_255,I don’t even know.,"First of all, part of it is you’re doing this.  That’s part of the thing.  1, 2, that’s part of your problem.  Where is your decimal?  That’s the first question.",0.416119423393379,1.0,-0.7262867524965418,0.0
110_184,110,110_184,"Zero.  I mean, 6 and 5.","This is your hundreds column, this is your tens column, and that’s your ones column.  So 6 and 5 is how much, Student N?  Is 12?",0.7601592801960507,1.0,-0.2910683204321877,0.0
110_241,110,110_241,You can use the 20.,"You can use the 20.  So what would 20 get you to?  If you added 10, what would that be?  Eight hundred and six.  So let’s break it up.  You say 10 is 806.  What’s 10 more?",0.732166257603447,1.0,-0.26958265232300516,0.0
1119_264,1119,1119_264,[I don’t want to color].,"– two more teachers came along.  So now we have one happy teacher, two happy teachers, and this one’s only a little happy.",-0.8873485183426126,0.0,,
1119_405,1119,1119_405,"– triple, third numbers to write equivalent expressions.","Okay, but this is a lot of new words, a lot of new vocabulary terms that we need to understand before we go on?  Yes?",1.0614731191543083,2.0,0.3058189222897703,1.0
1119_484,1119,1119_484,Divide by two – two [sides].,Say it again.,0.7039135389122015,2.0,1.0398976144531802,1.0
112_108,112,112_108,I already solved the problem.,"I didn’t see your hand up.  If you did not solve it the way number one, number two, or number three did, you’re taking notes.  Can I see? I didn’t see it.  I don’t see breaking up by place value.  Excellent.  It’s okay, she’s almost done.  Thank you, Student L.  Anyone else? If you did not break up both numbers by place value, please write this down.  If you did do it this way and didn’t do it this way, you’re writing this one down.  If you did it this way but you didn’t do it this way, you’re writing this number down. This is using a landmark number too.  I’m going to write that down.  Breaking one number apart, one number down by place value, and using a landmark number.  Okay, because this was very important what she did.  You can do that. That is okay.  Say she felt more comfortable with 250? She could take 250 off of there and put it here.  Or actually she’d be taking 54 and she’d be moving it onto here to make this 250.  Okay? Whatever you feel comfortable with as a landmark number, it’s usually by its tens and hundreds or ones, it’s usually tens and hundreds.  Okay? So if you solved it wrong you should be writing all these notes down.",-0.5323430844872142,0.0,-0.6243640832675886,
112_118,112,112_118,"But I add all the 700, 100, 10 and 11.",You added it as you went along?,1.4695742957163132,2.0,0.7116785873455012,1.0
112_88,112,112_88,"For the 10 and 90 I had 100, so I had to put the 100s in the 100s place, and the only number that was left was the 20, so I had to put the 20 in the tens place.  And then I added the numbers 100, 100 and 600, and I got 800.  So I added them all together and I got 800.","Let’s make that an 8 clearly.  It looks like a 6.  Did anyone do it this way? If you did not do it this way, take this down as a note.  If you didn’t do it the other way, breaking one number down by place value, add that as a note.  What I’d like you to do is name it.  We call this the U.S. Algorithm.  We’re going to learn that in our next class.",-0.15581294404754573,0.0,0.837707816583391,
1136_102,1136,1136_102,1 from 3.  You have to line it up.,"You have to line it up is what she’s telling you.  You’re all the way on that side, so you should line it up, right.  You have to keep things in order.",-0.37934494785631373,0.0,-0.5500582719713454,
1136_156,1136,1136_156,"Teacher, can I work with them?",Can you what?,-0.8528535363939954,0.0,,
1136_171,1136,1136_171,We’re doing these three.,So you have this one for your second ring.  How many is it worth?  The second ring is worth –,-0.5419374272153307,0.0,-0.6243640832675886,
1137_188,1137,1137_188,One tenth plus one tenth plus one tenth plus one tenth plus one tenth plus one tenth plus one tenth plus one tenth plus one tenth plus one tenth.,How many tenths you have there?,1.1006398846445833,2.0,0.3892437774184771,1.0
1137_193,1137,1137_193,1 plus 1 plus 1 plus 1 plus 1 plus 1 plus 1 plus 1.,It’s what?,0.39947968034503073,1.0,-0.8016667982746651,0.0
1137_207,1137,1137_207,"1, 2, eyes on you.","That means you put the markers down, and all your eyes are on me, right now.  I’m waiting for Student I.  So this was the activity.  I say we had one to do that I gave to you, right?  After you’ve done that – close the book, Student L, and put it away.  After we have done that you are going to create one of your own just as we did here, which means the numerator must be what?  The numerator was smaller than the—",-0.0912433608019844,0.0,0.9343531843023134,
1137_227,1137,1137_227,Three twelfths plus five twelfths equals eight twelfths.,"Okay, and how did you arrive at eight twelfths?",1.752559047927738,2.0,1.5575716368383654,1.0
113_1,113,113_1,"I think to see how you, how something is doing.",To see how something is doing.  Like what?,1.7567819287322932,2.0,1.422081126161043,1.0
1144_181,1144,1144_181,"I know.  It’s remainder 40, though.","So, it shouldn’t be remainders.  Point.   Point four zero?  I’m still working on theirs, you can check, you can use a calculator to check your work if you need to.  But, I’m still working on this with the class.  All right, so 75 can’t go into 26.  So, we drop the zero.  And, cross that out.  What do I put as my dividend?",0.01875770267936246,1.0,-0.6444363402728186,0.0
1144_223,1144,1144_223,I know you got to put a zero first.,"75 multiplied by what number is -- Equal to, close to, but not past 500?",-0.46048605918178936,0.0,-0.6161810970688948,
1145_154,1145,1145_154,"We said “no, because if multiply any number by 15 it will go over 20, except if you multiply by one, it’s not gonna go over 20.","Okay.  Anyone else?  There’s something that I’m looking for. In order for a number to be a factor of a certain product – in order for a number to be factored into a certain number, what has to happen?",1.2175371211288852,2.0,0.6729932620113618,1.0
11_319,11,11_319,I know why I got 25.,Yes.  What’s that?,1.0498639420203586,1.0,0.1864840022972237,0.0
11_76,11,11_76,"You could write, I know that it’s 20 percent because 20 percent is equal to –","Okay, go ahead.  Equal to what?",1.1619146600236032,2.0,0.38871664310166293,1.0
120_181,120,120_181,A whole and a half.,So if you have 36 plus one plus a half.,-0.20911556424683128,0.0,0.837707816583391,
12_299,12,12_299,"It says one quarter equals 25 percent, and then two quarters equals 50 percent, and all the quarts are over 50 percent.",Is that over 50 percent?,1.2377841982742708,2.0,0.5007598756595274,1.0
12_333,12,12_333,You’ve talked to me.,"Yes, I have, Student S.  Student S, you’ll do.  What was going on with this problem?  What did you do?  What were you thinking about?",-0.054184663525831255,0.0,1.3666633071248098,
131_147,131,131_147,What does it start with?,Student S?,-0.9270639494130922,0.0,,
131_175,131,131_175,"The pyramid.  All the side faces of the pyramid comes up to a point at the top of the, um, face.","Okay, excellent job.  What about a prism.  How is that different from a prism?  Student F?  Wait, there’s a couple people making some extra noises.",1.681408127066969,2.0,1.414991158068496,1.0
131_187,131,131_187,You said a pyramid has… Is this the question you just asked?,"I asked somebody to repeat what Student and Student M said, and also what I said about a pyramid.",-0.02038381704746824,0.0,1.6016296049038141,
136_158,136,136_158,5 times 8 times 3—,Not 3.  4.,-0.1957271258313812,0.0,0.9343531843023134,
141_131,141,141_131,How many miles did they drive all together?,"How many miles did they drive all together?  So what does that tell you, looking at the map?  What do you have to do, Student J?  Look at your answer.  What do you have to do?",1.2420973415196155,2.0,0.6249803294800812,1.0
141_35,141,141_35,My dad.  Oh wait.  I didn’t talk to him.,You left a message?,-0.9312108825045137,0.0,,
144_223,144,144_223,I’m not doing anything.,You know what?  You are.,-0.8777571778584173,0.0,,
144_311,144,144_311,I want to make something.,I’m gonna wait till everyone is sitting though and ready. You need to sit down.  Okay.,-0.9419749185479033,0.0,,
144_36,144,144_36,We have homework?  I got homework the last –,"Shh.  Okay, guys, I know this is – listen.  Listen.",-0.9922212440246087,0.0,,
144_50,144,144_50,"Teacher, you know what’s funny?",What?,-0.9351838052145357,0.0,,
147_313,147,147_313,Five eighths is equal to 62 and a half.,"Good.  You just made it.  Boys, do you have any cards left to play?",0.15754061351849014,1.0,-0.6066230436309319,0.0
147_341,147,147_341,"Four fifths – no, 80 percent.",How come you can’t put it there?,1.717885376839277,2.0,1.2104003593770227,1.0
150_163,150,150_163,This is a hexagon.  This is an octagon.,"Yes, hexagon is how many sides?",0.7849484360380178,1.0,-0.1503882879874154,0.0
156_187,156,156_187,Can we use—can we use—,"If you want to use the blue instead, that’s fine as long as you have the tenths and the hundredths.  Then put the lid on, put it back in the floor.  You just need those.  Did I ask you to have the whole one out?  Do you need the whole one out?  All you need is the tenths and the hundredths.  I’m going to show you how to multiply decimals two ways.  I’m going to show you how to use a model using your blocks, using your base ten blocks.  And I’m going to show you how to do it using multiplication the way we’ve always done. Here’s what I want you to represent on your desks with your pieces. Show me what—show me what 13 hundredths looks like using as few pieces as you can.  Show me 13 hundredths.  You know what, let me scratch that.  I want to change it.  Let’s start easier than that.  Show me three hundredths.  Show me three hundredths.  Sounds like maybe an airplane.  Do you have three hundredths?",0.3132018501300276,1.0,-0.9004830676985104,0.0
157_256,157,157_256,Mine doesn’t have the decimal sign.,"Did you multiply six point five times six point five?  Okay? So what do you think about that then?  Remember we’re trying to find 40.  We’re trying to find which two numbers we can multiply.  So that’s a little bit more than 40, what else could we try?",0.7017115012102142,2.0,1.2196687107436026,1.0
157_310,157,157_310,Forty-three point fifty-six.,Good.  Six point seven?,-0.4577466292702703,0.0,-0.8684962373468951,
159_170,159,159_170,"We wrote it down underneath, how long Carrie is from the park and then we subtract them.","Okay.  Does this give you times two or would it be half of that- -Susan Jones’ house, 87/100 times two.",0.3017118277761766,,0.1107633597572481,
159_96,159,159_96,Carrie and Sue’s house 4600 times ten equals 9200.,"If you were going to estimate 46/100, what would you round that to?",0.38576582082580124,,0.13075557252499903,
15_234,15,15_234,See this one is the…,"That’s why I said you didn’t need to do another one, you could have just keep on building.",-0.8532424970465945,0.0,,
