uidx,obs_id,exchange_idx,student_text,teacher_text,student_on_task_num_agree,student_on_task_majority,student_on_task_std,teacher_on_task_num_agree,teacher_on_task_majority,teacher_on_task_std,active_listening_num_agree,active_listening_majority,active_listening_std,follow_up_num_agree,follow_up_majority,follow_up_std,student_on_task,teacher_on_task,active_listening,follow_up,both_on_task,follow_up_excl_none,follow_up_grouped,student_on_task_zscore,teacher_on_task_zscore,active_listening_zscore,follow_up_zscore,both_on_task_zscore,follow_up_excl_none_zscore,follow_up_grouped_zscore
1030_100,1030,1030_100,"If you have already titled, you just put their numbers?","Yeah, you just put their numbers.  You already have the titles so you’re just putting the number underneath.  You’re just putting the number underneath.  Okay, so put Student O. Ask her to spell her name so she knows.  You’re just putting the number.  Your partner is talking to you.  Look at here too.  Student J, if you want to sit there, you can or it doesn’t matter.  So you have your numbers now.  Now, you’re going to do—this part is going to be on your own because you all have different numbers.  The next three things that you’re going to work on, the mean.  Average of each color for students one and two.  So that means I’m gonna take my red or actually, no, I’m gonna take my green because I’m green.  I’ve got green six and one.  If I’m finding the average, I have to add those together.",3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,0.0,0.5773502691896258,1.0,1.0,1.6666666666666667,0.3333333333333333,1.0,0.0,0.3333333333333333,0.45702898273543524,0.437934584094386,0.5628961759466976,-0.9131654712228919,0.4748107056246804,-1.0702591020190135,-0.5048232608414217
1030_241,1030,1030_241,I already did Student S and now I’m with Student A but how can—,You’re getting all even numbers for your mean?  How is that possible?,2,1,0.5773502691896258,3,1,0.0,2,0.0,0.0,1,,,0.6666666666666666,1.0,0.0,,0.6666666666666666,,0.0,-0.32786757712378134,0.4381676933632607,-1.9054500989307575,,-0.28447555677558545,,-0.9178615695814963
1030_256,1030,1030_256,I don’t get it.,"You have to find the mean for orange for Student L and M.  The mean for yellow, Student L and M.  The mean for that for Student L and M.  You gotta get the same set of numbers, five of those for three and four.  Do that first.",3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,1.0,0.5773502691896258,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,0.0,0.6666666666666666,0.4905355995898442,0.47801029241814535,0.550050689212252,-0.3075839580627781,0.5101733610173832,-0.7784421448901373,0.06900276843249976
1030_276,1030,1030_276,"Averages?  Oh, the average.  It’s right there.","That’s what mean is.  I don’t know where you’re getting one to—why are you putting ratios?  It’s not ratios, honey. You should have whole numbers.  You’re taking all of—I don’t get that though.  Here, all of these numbers plus where are the new means?",3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,1.0,0.5773502691896258,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,0.0,0.6666666666666666,0.4345746186403328,0.40602666186277186,0.6978934170241621,-0.2983746825897553,0.4549179351295589,-0.6202725901682418,0.03350903734257885
1035_487,1035,1035_487,We were supposed to be –,"But don’t do that to him.  Turn around, Student T.  We could change all the [coughs], sorry, all of this to inches.  If we change one foot, three inches to inches, how many inches would that be?",3,0,0.0,2,0,0.5773502691896258,1,,,1,,,0.0,0.3333333333333333,,,0.0,,0.0,-2.0069317926529737,-1.1821258870954416,,,-1.9157599689209988,,-0.8949301520674412
1035_508,1035,1035_508,Four feet and seven inches for me.,Median –,3,1,0.0,3,1,0.0,3,0.0,0.0,1,,,1.0,1.0,0.0,,1.0,,0.0,0.4441788449778516,0.42956535400017465,-1.9095108630841182,,0.4635351512766759,,-0.9078721757765414
1035_736,1035,1035_736,You only do – y’all did hers.,"So, Student M –",2,0,0.5773502691896258,2,0,0.5773502691896258,1,,,1,,,0.3333333333333333,0.3333333333333333,0.0,,0.3333333333333333,,0.0,-1.190579523572756,-1.1803076992347548,-2.1200387939818905,,-1.1233085811088235,,-0.8447051584841047
1035_831,1035,1035_831,"Okay, let’s go.  I’m sorry.",The mode is?,2,0,0.5773502691896258,2,1,0.5773502691896258,1,,,1,,,0.3333333333333333,0.6666666666666666,0.0,,0.3333333333333333,,0.0,-1.1628239404443146,-0.3480160249888798,-1.5832868614744435,,-1.0803079091155559,,-0.9592971541809426
1035_868,1035,1035_868,"Student C, Student J, Student M –",Which height is that?,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,2,1.0,0.5773502691896257,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.4487869354647187,0.411778724831104,-0.06266277755633502,0.5420949735008095,0.46796734757444985,-0.08244163984165738,0.8493400200036617
1036_3,1036,1036_3,Today we will identify and –,Manipulate.,2,1,0.5773502691896258,2,1,0.5773502691896258,1,,0.7071067811865476,2,0.0,0.0,0.6666666666666666,0.6666666666666666,1.5,0.0,0.6666666666666666,,0.0,-0.5222131056717239,-0.6074373805859388,0.19181742365864063,-1.2866631272276576,-0.4796331230878832,,-0.9411893606185128
1036_324,1036,1036_324,These papers won’t stay still.,"Well you just have to take your time.  Just take your time. Take your time.  One pattern, one big pattern you’re gonna make on here, understand.  One big pattern you’re gonna make.  Just take your time.  Very good.  Just take your time and see how you can make – take this and make a big pattern.  You can design your pattern to look like a person or an animal.  Remember, there should be no space in between there.  That’s a rule for tessellation. Come on, Student D, pick up your things and cooperate.  Come on, Student D, you want to be in this.",2,1,0.5773502691896258,2,1,0.5773502691896258,1,,0.7071067811865476,2,1.0,0.0,0.6666666666666666,0.6666666666666666,1.5,1.0,0.6666666666666666,0.0,0.6666666666666666,-0.4072691094731567,-0.39591119504599837,0.357422864647414,0.1916302084462195,-0.36122642653967113,-0.673945106415204,0.02745960998844062
1038_195,1038,1038_195,How you did in school.,How you did in school?  They might if they were trying to look at your college scores but what other reasons might they need to look at data?,3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,2.0,0.5773502691896257,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.4333571129972294,0.40542508224402024,0.4843267089438574,0.7829204232324359,0.4454473713807108,0.434403120615412,1.11409895335407
1038_310,1038,1038_310,I’m gonna do a shout out.,"Student D, first I want to see your work and then you can give me a shout out.",2,0,0.5773502691896258,2,0,0.5773502691896258,1,,,1,,,0.3333333333333333,0.3333333333333333,2.0,2.0,0.3333333333333333,1.0,0.6666666666666666,-1.1187096661863747,-1.1535479943665237,1.035838488081302,1.4951259010043314,-1.0610770935209473,1.4865653511399612,0.08270256981425324
1038_66,1038,1038_66,You added more than you needed.,You added more than you needed.  I don’t know.  I just saw it on two or three people’s papers so I wasn’t sure where we got that from.  So we won’t worry about that.  I was just curious to see if somebody realized where they made their error.  Student V?,3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,1.0,0.5773502691896257,1.0,1.0,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.42716190901381484,0.3944647392374056,0.46839552010042595,0.6503131842924099,0.4544154701099561,0.11436413594079815,0.9135085005060244
1042_306,1042,1042_306,I don’t get what’s with—,"They’re asking you to on average how many papers would you read.  No, that’s right.  Don’t do that.  Leave it like that and then just round it and circle it.  Okay?  That was perfectly fine and then you rounded it.  That’s fine.",3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,1,,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.5,1.0,0.4961995373530308,0.4797110785057824,0.06716534350391086,0.009540194192223886,0.5210108200240023,0.1438247723060228,0.383107964647633
1043_208,1043,1043_208,"Isn’t 20 times 20, 400?","One times nine is nine.  One times one is one.  Put down bob. Eighteen, carry the one.  Two plus one is three.  Three hundred and ninety-nine.  What?",3,1,0.0,3,1,0.0,2,0.0,0.5773502691896258,1,,,1.0,1.0,0.3333333333333333,0.0,1.0,,0.0,0.42095816864068175,0.398959939911999,-1.2105839145532558,-1.090672322791075,0.4353970835025245,,-0.8913609643119674
1044_12,1044,1044_12,Like what we think is going to happen.,"What you think is going to happen, okay. Any other suggestions? Alright, I’m gonna call on everyone, small groups, large groups, everyone in the classroom to give me how long they think it will take you can use minutes, you can use seconds alright and we’re also gonna talk about converting minutes into seconds and things like that okay. So first things first I’m gonna make a little chart. On one side I’m gonna put right foot, on the other side I’m gonna put left foot. And everyone is gonna have a chance to give me a prediction okay. Right foot, and then left foot.",2,1,0.5773502691896258,2,1,0.5773502691896258,2,2.0,0.0,1,,1.4142135623730951,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,-0.3078046828755379,-0.3461924995149939,0.8930443261254822,-0.009744496834385497,-0.2799238260253003,1.086574968094849,-0.047939402287979216
1044_181,1044,1044_181,I feel like I did it wrong.,"No you did it right the first time, you’re doing your left foot now you’re gonna balance on your left foot. If I’ve already gotten your right and left foot go take a seat at your desk. If I’ve already gotten your right, 20 seconds, woohoo that was good that was very focused. Alright hold on a second let me clear my timer. Ready? 3 seconds, that’s okay. Shh, shh, shh, shh-shh.",3,1,0.0,3,1,0.0,3,2.0,0.0,2,0.0,0.5773502691896258,1.0,1.0,2.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.4135454590141638,0.3873980172866327,1.1179776721744397,-0.8912072562804775,0.43489461848292166,-1.0702591020190135,-0.542012999177628
1045_122,1045,1045_122,What do you mean what’s happened?,Alright friends share with me what we have.,3,1,0.0,3,1,0.0,3,0.0,0.0,1,,,1.0,1.0,0.0,,1.0,,0.0,0.4223203477074839,0.39634277278611973,-2.024618365719782,,0.4371709415994109,,-0.901204375217563
1045_23,1045,1045_23,Uh the first 2 numbers the 3 and the 6 in each problem.,"Okay so Student K is noticing we have a 6 and we have a 3, what’s the relationship between the 6 and the 3?",3,1,0.0,3,1,0.0,3,2.0,0.0,2,1.0,0.5773502691896257,1.0,1.0,2.0,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.46891057313894047,0.46069630682444696,1.1121734244380332,0.5750382611533676,0.4966214835528895,-0.013666301934758226,0.9171658468371975
1045_311,1045,1045_311,Um. If we’re going to…,I love the vocabulary equivalent expressions. I am looking for an equivalent equation on this side. Like before we had 6 times 9 equals 3 times 18. Now I’m wondering 40 times 32 equals what?,2,1,0.5773502691896258,2,1,0.5773502691896258,2,0.0,0.0,1,,,0.6666666666666666,0.6666666666666666,0.0,,0.6666666666666666,,0.0,-0.5227420791657136,-0.5430832523093247,-1.939728628470637,,-0.5083984838029975,,-0.9205502355448459
1046_132,1046,1046_132,I need help with this one.,Hm?,3,1,0.0,3,1,0.0,2,0.0,0.5773502691896258,1,,,1.0,1.0,0.3333333333333333,0.0,1.0,,0.0,0.4063102068493212,0.3801782774995382,-1.567232826791679,-1.31794408342598,0.4349128079545452,,-0.9109558928167297
1047_103,1047,1047_103,Each box contains 18 apples.,"Good.  Each box – please write this down.  Each box contains 18 apples.  My third sentence is my question.  Who can create a question?  You can look at the one we did and you’re doing almost the same thing, only apples to oranges. Student R?",3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,3,1.0,0.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.0,1.0,0.4034369759585999,0.3822699058893208,0.11344890084188282,0.02753546949896199,0.42819068535559657,-0.7415231454586656,0.37625711946974266
1049_35,1049,1049_35,I didn’t get one.,"You were here.  You did get one.  I’m gonna give you a new one, okay?  I’m gonna give you a new – and Student C, we’re waiting on yours, right?",3,0,0.0,3,0,0.0,1,,,1,,,0.0,0.0,,,0.0,,0.0,-1.98951152772932,-2.0345733116434443,,,-1.8584455581575607,,-0.9159920315779845
1054_109,1054,1054_109,I’m not going to [keep it].,"Why?  When you’re ready to let me help you, please let me know.",2,0,0.5773502691896258,2,0,0.5773502691896258,1,,,1,,,0.3333333333333333,0.3333333333333333,0.0,,0.3333333333333333,,0.0,-1.2192263306343714,-1.2516695245071106,-1.8750337842675395,,-1.1308679505838262,,-0.8568463827946848
1057_166,1057,1057_166,Another word for positive is above.,Or?,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896258,2,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.43179971086275876,0.42546226586158015,-0.8147140025471056,0.20734692934645174,0.44825795217311176,-0.6408836938664293,0.08232044359775181
1058_178,1058,1058_178,"Well, what you supposed to do is multiply three times four.",Where are they?  What are these called?  Class?,3,1,0.0,3,1,0.0,1,,1.0,1,,0.7071067811865476,1.0,1.0,1.0,1.5,1.0,0.5,1.0,0.5010410986593617,0.4778330449570682,-0.5447598933465604,0.5228755298123584,0.5382553485345476,0.09767585828543301,0.3040237906489854
1062_347,1062,1062_347,"Oh, so then you can do 15 times 199.","Write that number sentence and solve it, please.  Student S, what’s going on?  Student S, I want you to solve a second way, please, okay?  Student D and Student K, how are we doing?",3,1,0.0,3,1,0.0,3,1.0,0.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.469669985158165,0.4381676933632607,-0.5837152431225715,-0.04625164805688586,0.4987157665478141,0.052999350410938895,0.2888287346215113
1064_222,1064,1064_222,I divided 8 by 100.,Okay.  Did you do that?,3,1,0.0,3,1,0.0,3,1.0,0.0,2,2.0,0.5773502691896257,1.0,1.0,1.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.42128710674536357,0.4122945051676914,-0.40497259469959374,0.7441064619545333,0.4328829728785108,0.3841439716834225,1.0736837556391494
1064_348,1064,1064_348,They both are mixed numbers.,They both are mixed numbers.,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,3,0.0,0.0,1.0,1.0,1.3333333333333333,0.0,1.0,,0.0,0.43567172243793606,0.43959459642795035,0.09882521883236584,-1.2440897502454338,0.4533999783965656,,-0.8700265106030193
1067_13,1067,1067_13,"They’re algebraic letters, but they’re taking the place of numbers in an algebra problem.","And that’s absolutely right.  They are taking the place of a number in a algebra problem, and we call them variables. How many people remember the term variable?  Okay, when we’re in math, we have to learn how to speak math.  Like if I’m gonna something together and I say what is two plus two, you’re gonna tell me the blank is four.  And I’m not looking for answer because answer is not a specific math term.  The what is four?",3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,1.0,0.5773502691896258,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,0.0,0.6666666666666666,0.38881373085307497,0.35626706446236045,0.5851280477270157,-0.4381344227482676,0.40180828620670805,-0.847311592643301,-0.10864412878747205
1067_220,1067,1067_220,"You’re going to put out seven yellow counters and then under that, you –",Stop.  Only wanted the first thing.  Everybody agree the first thing we’re gonna do is put out seven yellow counters?,3,1,0.0,3,1,0.0,3,1.0,0.0,2,1.0,0.5773502691896257,1.0,1.0,1.0,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.4580888411583183,0.4365560350682926,-0.6224501858752177,0.4036557450114488,0.4785337036569244,-0.23827631117304693,0.7327259570419113
1069_171,1069,1069_171,We’re still writing them.,"Okay, boys, I need to see it happening.  How many have you written Student K?  You goin’ to – you know what?  If you make ‘em so hard that he can’t solve for ‘em and you can’t solve – you’ve gotta be able to solve your own problem. Let me see.  Okay, those look pretty good actually. Student M’s look good.  Student M’s look good.  Tell Ms. B I’m working and I’ll send them in a few minutes. Do we have an answer?  All right, boys, let’s see.  All right, you’re gonna use the blocks.  What’s the first thing?  Do we have any parenthesis?",2,0,0.5773502691896258,2,1,0.5773502691896258,1,,,1,,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,-1.197673422871455,-0.40587992037126536,-0.8306775641033066,-0.048388495467534445,-1.168485534753594,-0.9203230604082056,-0.4568463221550752
1069_18,1069,1069_18,Because it tells you the order of operation.,Very good.  Keep talking.,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,2,2.0,0.5773502691896257,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.3982930940083498,0.3853865575378208,0.1609875746490701,0.9793328786941552,0.4128952967804089,0.6520888805040514,1.321081093057217
1069_28,1069,1069_28,"Number sentences related to PEMDAS because in order to solve a number sentence you’re gonna need to know the order of operations that you use and they’re important because you can – because let’s say you have a job and then you sort out your taxes, you can use number sentences to help you sort out your taxes.","You can write equations to figure out tax information as well as calculating tax information, can’t you?  One plus two is what? Who said four?  I’m feeling dizzy.  I’m feeling dizzy.  One plus two is what?",3,1,0.0,3,1,0.0,3,2.0,0.0,2,1.0,0.5773502691896258,1.0,1.0,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.4119095440080009,0.3924532794885936,1.0406660365679143,-0.2590448608781686,0.4324161484074433,-0.48455696659127867,0.10745883911336884
1069_3,1069,1069_3,Factor and practice solving for the variable.,Very good.  And what’s the other math objective?,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896258,2,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.49159545801272725,0.47663174339205194,-1.1728689051917922,0.08843511109243692,0.5138963590496272,-0.824591058910727,0.010980473944395497
1069_33,1069,1069_33,It’s called a variable.,It’s a variable.  Variable.  Class? It’s a variable.  What does a variable do?  Who can tell me? Mr. P?,3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,2.0,0.5773502691896257,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.4451894972622538,0.42883152135404795,0.48080098204091753,1.1378501145006903,0.45962841212409655,0.7882415424537786,1.4520067414753923
1069_7,1069,1069_7,Understand and discuss what led to the Revolutionary War.,Very good and what else?,4,0,0.0,4,0,0.0,1,,,1,,,0.0,0.0,,,0.0,,0.0,-2.1985128519071244,-2.2954121950917044,,,-2.1026264145311977,,-0.9254049599044181
1076_3,1076,1076_3,It’s like in between.,"Which one are you measuring?  I would say that’s 7, or you could say 6 and a half if you feel it’s necessary.  Make sure it’s the same thing with you.  You need to fill this column in.  Don’t worry about that question.  That’s going to be after we work with the area.  Finish parameter.  Yes. The rectangles are mostly done.  We’re going to get into triangles and other shapes.  Now I know that we’re rounding.  When we talk about the measurements, I have the exact same ones here.  So we’re going to see how close we are.  Yes, Student E?",3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,1.0,0.5773502691896258,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,0.0,0.6666666666666666,0.49233505979049696,0.45174107573743894,0.4208248420006407,-0.4671966293548806,0.5212175532699296,-1.1002798282201307,-0.10106576808810547
1077_303,1077,1077_303,Subtract the whole numbers.  That’ll give you 1.  I think you multiply the fraction –,Wait a minute.,3,1,0.0,3,1,0.0,2,0.0,0.5773502691896258,1,,,1.0,1.0,0.3333333333333333,0.0,1.0,,0.0,0.3996552730751519,0.3827693904119416,-1.4090400998951107,-1.1184993229940936,0.41466915487729533,,-0.9270639494130922
1077_341,1077,1077_341,"Wahoo, so that’s the answer.",– five eighths.  So what goes in the missing box?,3,1,0.0,3,1,0.0,1,,1.0,1,,0.7071067811865476,1.0,1.0,1.0,1.5,1.0,0.5,1.0,0.4497937305705926,0.4307148443072915,-0.4021538479860339,0.6672999961863656,0.47482889509630394,0.07229472418533323,0.3740994493598954
1077_6,1077,1077_6,Teams were given these fractional numbers to add.  8 and three fourths plus 4 and three eighths plus 6 and seven eighths. First Student T added her whole numbers.  Then she added her fractions.  Her final answer was 18 and thirteen twentieths.  Her partner Student C says they should hand in his answer which is 18 and sixteen eighths.  Whose answer is correct?,"So we have a dilemma here.  We have people working the partnership.  And oftentime like you guys, they have a dispute over, ""Oh, no, no, no.  My answer’s the right answer.""  ""No, you did something wrong.  You skipped a step.""  But you can only hand in one paper for the team. Student T said her answer was correct.  She came up with 18 and thirteen twentieths.  Student C, of course being a guy like guys do sometimes, ""Girl you don’t know what you talking about.""  The correct answer is 18 and sixteen eighths.  So you had a chance to analyze this with your partner.  Who would like to share what they came up with? Who was correct?  Who was correct?  Student J?",3,1,0.0,3,1,0.0,3,2.0,0.0,2,2.0,0.5773502691896257,1.0,1.0,2.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.44051328374426707,0.4377165628792361,0.9599679831544611,1.0201686072572551,0.4706445069071108,0.7502468749516308,1.3431009059306593
1079_1,1079,1079_1,Eyes and ears from you Student M.  Eyes and ears from you.,"That’s right.  Student M, go for it.",3,0,0.0,3,0,0.0,1,,,1,,,0.0,0.0,,,0.0,,0.0,-2.423734878588099,-2.6074599859547667,,,-2.3476427501902055,,-0.955045217493463
1079_128,1079,1079_128,5 times 1 is 5 because there’s five of these and only one vanilla.  So 5 times 1 is 5.,"Very good.  Give him a hand for that.  Now also here we have – I wrote it out, didn’t I?  And how many did I get here?",3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,3,1.0,0.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.0,1.0,0.41248560059128075,0.3887765663127261,0.21052776967764686,0.005435846372868478,0.43117162045067775,-0.8516454788116011,0.37256462116922756
1079_130,1079,1079_130,"1, 2, 3, 4, 5.",We’re gonna try it again.  And this time I want everybody paying attention.,3,1,0.5773502691896257,3,1,0.5773502691896257,2,0.0,0.0,1,,,0.5,0.5,0.0,,0.5,,0.0,-0.9745169418745185,-1.0222978958312658,-1.7571565666512168,,-0.951120583962527,,-0.9651778236905872
1079_132,1079,1079_132,"1, 2, 3, 4, 5.",That also equals 5.  So we drew it out.  Saw it in our minds. What’s the key words here?  Well what are the key words? Give me some key words out of this?,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896258,2,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.4466886774862267,0.446314851692424,-0.7193616167948743,0.02756400193003303,0.4669033194032434,-0.7705939104118187,-0.03848806246933123
1079_154,1079,1079_154,And then we see how many combinations could go with chocolate or vanilla.,We solved.  Good.  We considered the different combinations. And what’s the last thing?  Give me something.,3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,3,1.0,0.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.0,1.0,0.499233660029398,0.48976261428847456,0.225790279745374,-0.0369294367061272,0.5294245236870276,-0.6750474212423319,0.5475020309517024
1079_160,1079,1079_160,We did 5 times 2 equals 10.,"No.  We did 5 times 1 equals 5, darling.",4,1,0.0,4,1,0.0,3,1.0,0.5,3,0.0,0.5,1.0,1.0,1.25,0.25,1.0,0.0,0.25,0.4727507552295461,0.4498090310867119,-0.11966198479509438,-1.0505524244416984,0.49048703894815365,-1.1937336386313322,-0.6221750791940033
1079_162,1079,1079_162,"Oh, that’s to solve the whole –","That’s if you ate two cakes.  You only have two cakes, right. You only had one cake.  So we solved the problem using the number of cakes and frosting.  Those are my three sentences that explain what I did.  Now let us try on our own. Anybody got any questions about what just happened here? Anybody more, horribly, terribly confused?  If you are not confused, let me see your thumb in the air.  If you got it, let me hear you say, ""Oh, yeah.""",3,1,0.0,3,1,0.0,2,2.0,1.1547005383792517,2,1.0,0.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.0,0.6666666666666666,0.4034369759585999,0.3822699058893208,0.21923695874354956,0.005483327629519939,0.42819068535559657,-0.7464301603072419,-0.06424245137460953
